player,pickOne,pickTwo,pickThree,random
Team Morrison,nick-wilson,sarah-lacina,sophie-clarke,danni-boatwright
Team RedRob,jeremy-collins,sandra-diaz,ben-driebergen,yul-kwon
Alex,jeremy-collins,yul-kwon,sarah-lacina,sandra-diaz
Jenna,wendell-holland,sandra-diaz,ben-driebergen,sandra-diaz
Erin,jeremy-collins,wendell-holland,dani-boatwright,parvati-shallow
A-M,kim-spradlin,nick-wilson,wendell-holland,michele-fitzgerald
Tanya,yul-kwon,jeremy-collins,sophie-clarke,denise-stapley
Team Leagle,ben-driebergen,tony-vlachos,rob-mariano,sandra-diaz
Team Kozak,rob-mariano,tyson-apostol,yul-kwon,sophie-clarke
Rob,ethan-zohn,sophie-clarke,michelle-fitzgerald,jeremy-collins
Jillian,michele-fitzgerald,yul-kwon,tyson-apostol,denise-stapley
Chris & Andreea,yul-kwon,sarah-lacina,rob-mariano,nick-wilson
Andrea,parvati-shallow,ethan-zohn,ben-driebergen,rob-mariano
Team MacGillivray,yul-kwon,wendell-holland,pavarti-shallow,ben-driebergen
Dean,michele-fitzgerald,ethan-zohn,sandra-diaz,adam-klein
